Country,Facility Name,Facility Type,Fuel Type,Facility Status,Scale,Design Capacity,Start of Operation,End of Operation
France,La Hague - E,AFR Wet Spent Fuel Storage (Pool),,In Operation,Commercial,6200 t HM,1988,
France,Experimental Reprocessing Facility (Building 211),Spent Fuel Reprocessing - aqueous route,,Decommissioning,Pilot plant,5 t HM/year,1960,1997
France,La Hague - AT1,Spent Fuel Reprocessing - aqueous route,,Decommissioned,Pilot plant,0.365 t HM/year,1969,1979
France,ATTILA,Spent Fuel Reprocessing - aqueous route,,Decommissioned,Pilot plant,0 t HM/year,1966,1975
France,Ore Treatment Plant Geugnon,Conversion to U Metal,,Decommissioned,Commercial,450 t HM/year,1964,1980
France,Ore Treatment Plant Le Bouchet,Conversion to U Metal,,Decommissioned,Commercial,100 t HM/year,1959,1963
France,Building 19,Spent Fuel Reprocessing - aqueous route,,Decommissioned,Laboratory,0 t HM/year,1957,1984
France,Building 18,Spent Fuel Reprocessing - aqueous route,,Decommissioning,Laboratory,0 t HM/year,1959,1995
France,Laboratory RM2,Spent Fuel Reprocessing - aqueous route,,Decommissioned,Laboratory,0 t HM/year,1968,1980
France,Framatome - Rugles,Zirconium Alloy Production,,In Operation,Commercial,600 t/year,1981,
France,Georges Besse II,Uranium Enrichment,,In Operation,Commercial,7500 MTSWU/year,2011,
France,La Hague - UP2-400,Spent Fuel Reprocessing - aqueous route,,Decommissioning,Commercial,400 t HM/year,1966,2004
France,Framatome - Ugine,Zirconium Alloy Production,,In Operation,Commercial,2200 t/year,1982,
France,Framatome - Montreuil Juigné,Zirconium Alloy Tubing,,In Operation,Commercial,1200 t/year,1982,
France,Comurhex II - Malvesi (UF4),Conversion to UF4,,In Operation,Commercial,15000 t HM/year,2018,
France,Comurhex II - Pierrelatte (UF6),Conversion to UF6,,Under Construction,Commercial,15000 t HM/year,2018,
France,ATALANTE,Spent Fuel Reprocessing - aqueous route,,In Operation,Laboratory, ,1992,
France,STAR,Spent Fuel Reprocessing - aqueous route,,In Operation,Laboratory, ,1994,
France,ISAI,Disposal (HLW),,In Operation,Laboratory, ,1989,
France,Manche disposal facility,Disposal (LILW),,Shutdown,Commercial,530000 m3,1969,1994
France,Aube disposal facility,Disposal (LILW),,In Operation,Commercial,1000000 m3,1992,
France,"Industrial facility for grouping, storage and disposal",Disposal (LLW),,In Operation,Commercial,650000 m3,2003,
Gabon,Mounana,Uranium Ore Processing,,Decommissioned,Commercial,1500 t U/year,1977,1999
Georgia,"Jupiter Research Center ,Julich",Spent Fuel Reprocessing - aqueous route,Fuel for HTR/GHTR,Decommissioned,Pilot plant,0.002 t HM/year,1978,1987
Georgia,Centralized Storage Facility,Disposal (LILW),,In Operation,Commercial,800 m3,2007,
Georgia,Saakadze disposal,Disposal (LILW),,Decommissioned,Commercial,1000 m3,1960,1995
Georgia,Applied Research Center,Disposal (LILW),,In Operation,Commercial, ,2024,
Georgia,Temporary stoarage,Disposal (LILW),,In Operation,Commercial, ,2024,
Germany,Ahaus Central Storage Facility,AFR Dry Spent Fuel Storage,"UOX for PWR, UOX for BWR, Fuel for HTR/GHTR, Fuel for MTR",In Operation,Commercial,3960 t HM,1997,2036
Germany,Advanced Nuclear Fuels GmbH Duisburg Plant,Zirconium Alloy Tubing,,In Operation,Commercial,2100 km/year,1981,
Germany,Ellweiler Uranium Ore Processing Plant,Uranium Ore Processing,,Shutdown,Commercial,125 t U/year,1961,1989
Germany,Gorleben Central Storage Facility,AFR Dry Spent Fuel Storage,,In Operation,Commercial,3800 t HM,1995,2034
Germany,Urenco Germany GmbH,Uranium Enrichment,,In Operation,Commercial,4500 MTSWU/year,1985,
Germany,"Siemens Fuel Fabrication Plant Hanau, Section Uranium","Fuel Fabrication (U Pellet, Pin, FA)","UOX for PWR, UOX for BWR",Decommissioned,Commercial,1350 t HM/year,1969,1995
Germany,Mannesmann Röhrenwerke AG Hellenthal,Zirconium Alloy Tubing,,Decommissioned,Commercial,350 km/year,1972,1985
Germany,Reproccesing Plant Karlsruhe (pool for storage of spent fuel assemblies),AFR Wet Spent Fuel Storage (Pool),,Decommissioned,Pilot plant,55 t HM,1971,1991
Germany,Siemens Fuel Fabrication Plant Karlstein,"Fuel Fabrication (U Pellet, Pin, FA)","UOX for PWR, UOX for BWR",Decommissioned,Commercial,400 t HM/year,1966,1993
Germany,Advanced Nuclear Fuels GmbH Lingen Plant,"Fuel Fabrication (U Pellet, Pin, FA)","UOX for PWR, UOX for BWR",In Operation,Commercial,650 t HM/year,1979,
Germany,Karlsruhe Reprocessing Plant,Spent Fuel Reprocessing - aqueous route,,Decommissioning,Pilot plant,35 t HM/year,1971,1991
Germany,Greifswald NPP On-Site Interim Storage Facility (temporary),AFR Wet Spent Fuel Storage (Pool),UOX for VVER,Decommissioning,Commercial,560 t HM,1985,2006
Germany,Koenigstein Uranium Ore Processing Plant,Uranium Ore Processing,,Shutdown,Commercial,0 t U/year,1970,1990
Germany,Crossen Uranium Ore Processing Plant,Uranium Ore Processing,,Decommissioned,Commercial,2000 t U/year,1951,1989
Germany,Seelingstaedt Uranium Ore Processing Plant,Uranium Ore Processing,,Decommissioned,Commercial,3000 t U/year,1960,1990
Germany,"Karlsruhe Enrichment, Research Centre Karlsruhe, Institute for Nuclear Process Engineering",Uranium Enrichment,,Decommissioned,Pilot plant,50 MTSWU/year,,
Germany,Wackersdorf Reprocessing Plant,Spent Fuel Reprocessing - aqueous route,,Others,Commercial,350 t HM/year,,
Germany,Gorleben Pilot Conditioning Plant,Disposal (HLW),,Stand By,Pilot plant,35 t HM,,
Germany,Nukem Fuel Fabrication Plant,Fuel Fabrication (Research Reactors),"Fuel for HTR/GHTR, Fuel for MTR",Decommissioned,Commercial,100 t HM/year,1962,1988
Germany,Greifswald Interim Storage Facility North,AFR Dry Spent Fuel Storage,UOX for VVER,In Operation,Commercial,585 t HM,1999,
Germany,Neckarwestheim NPP On-Site Storage Facility,AFR Dry Spent Fuel Storage,UOX for PWR,In Operation,Commercial,1600 t HM,2006,2046
Germany,Enrichment Technology Company Ltd. Zweigniederlassung Deutschland,Uranium Enrichment,,In Operation,Laboratory,0 MTSWU/year,1964,
Germany,Hobeg Fuel Fabrication Plant,"Fuel Fabrication (U Pellet, Pin, FA)",Fuel for GCR/AGR,Decommissioned,Commercial,4 t HM/year,1972,1988
Germany,ALKEM Fuel Fabrication Plant,"Fuel Fabrication (U Pellet, Pin, FA)",,Decommissioned,Pilot plant,8 t HM/year,1965,1972
Germany,Plutonium Test Extraction Facility ,Spent Fuel Reprocessing - aqueous route,,Decommissioned,Pilot plant, t HM/year,1980,1991
Germany,MILLI Reprocessing Test Facility,Spent Fuel Reprocessing - aqueous route,,Decommissioned,Pilot plant,0.2 t HM/year,1970,1991
Germany,Philippsburg NPP On-Site Storage Facility,AFR Dry Spent Fuel Storage,UOX for PWR,In Operation,Commercial,1600 t HM,2006,2047
Germany,Brokdorf NPP On-Site Storage Facility,AFR Dry Spent Fuel Storage,UOX for PWR,In Operation,Commercial,1000 t HM,2007,2047
Germany,Grafenrheinfeld NPP On-site Storage Facility,AFR Dry Spent Fuel Storage,UOX for PWR,In Operation,Commercial,800 t HM,2005,2046
Germany,Isar NPP On-site Storage Facility,AFR Dry Spent Fuel Storage,"UOX for PWR, UOX for BWR",In Operation,Commercial,1500 t HM,2007,
Germany,Grohnde NPP On-site Storage Facility,AFR Dry Spent Fuel Storage,UOX for PWR,In Operation,Commercial,1000 t HM,2005,2046
Germany,Gundremmingen NPP On-site Storage Facility,AFR Dry Spent Fuel Storage,UOX for BWR,In Operation,Commercial,1850 t HM,2006,2046
Germany,Lingen NPP On-site Storage Facility,AFR Dry Spent Fuel Storage,UOX for PWR,In Operation,Commercial,1250 t HM,2002,2042
Germany,Biblis NPP On-Site Storage Facility,AFR Dry Spent Fuel Storage,UOX for PWR,In Operation,Commercial,1400 t HM,2005,2046
Germany,Biblis NPP On-Site Interim Storage Facility (Temporary),AFR Dry Spent Fuel Storage,UOX for PWR,Decommissioned,Commercial,280 t HM,2002,2006
Germany,Brunsbuettel NPP On-site Storage Facility,AFR Dry Spent Fuel Storage,UOX for BWR,In Operation,Commercial,450 t HM,2006,2046
Germany,Brunsbuettel NPP On-Site Interim Storage Facility (Temporary),AFR Dry Spent Fuel Storage,UOX for BWR,Others,Commercial,140 t HM,2005,2011
Germany,Kruemmel NPP On-site Storage Facility,AFR Dry Spent Fuel Storage,UOX for BWR,In Operation,Commercial,775 t HM,2006,2046
Germany,Kruemmel NPP On- Site Interim Storage Facility (Temporary),AFR Dry Spent Fuel Storage,UOX for BWR,Decommissioned,Commercial,120 t HM,2004,2006
Germany,Advanced Nuclear Fuels GmbH Karlstein Plant,Fuel Assembly Component Manufacturing (hardware),,In Operation,Commercial, ,1969,
Germany,Unterweser NPP On-Site Storage Facility,AFR Dry Spent Fuel Storage,UOX for PWR,In Operation,Commercial,800 t HM,2007,2047
Germany,Obrigheim NPP On-Site Interim Storage Facility (temporary),AFR Wet Spent Fuel Storage (Pool),UOX for PWR,Decommissioning,Commercial,286 t HM,1999,2017
Germany,Obrigheim NPP On-Site Storage Facility,AFR Dry Spent Fuel Storage,UOX for PWR,Others,Commercial,100 t HM,,
Germany,Greifswald Interim Storage Facility North ESTRAL,AFR Dry Spent Fuel Storage,,Others,Commercial, ,,
Germany,"Siemens Fuel Fabrication Plant Hanau,Section MOX processing","MOX fuel fabrication (Mox Powder, Pellet, Pin, FA)","UOX for PWR, UOX for BWR, Fuel for HTR/GHTR",Decommissioned,Commercial,35 t HM/year,1968,1991
Germany,"Siemens Fuel Fabrication Plant Hanau,Section MOX processing","MOX fuel fabrication (Mox Powder, Pellet, Pin, FA)","MOX for PWR, MOX for BWR",Decommissioned,Commercial,35 t HM/year,1968,1991
Germany,JUPITER Research Centre Julich,Spent Fuel Reprocessing - aqueous route,,Decommissioned,Pilot plant,0.002 t HM/year,1978,1987
Hungary,Cserkut (Mecsekuran LLC),Uranium Ore Processing,,Shutdown,Commercial,500 t U/year,1956,1999
Hungary,PURAM PAKS SITE SFISF,AFR Dry Spent Fuel Storage,UOX for VVER,In Operation,Commercial,11416 Cask-Bund.,1997,
India,Baroda,Heavy Water Production,,In Operation,Commercial,17 t/year,1977,
India,Hazira,Heavy Water Production,,In Operation,Commercial,80 t/year,1991,
India,UCIL-Jaduguda,Uranium Ore Processing,,In Operation,Commercial,175 t U/year,1968,
India,Kota,Heavy Water Production,,In Operation,Commercial,85 t/year,1985,
India,Manuguru,Heavy Water Production,,In Operation,Commercial,185 t/year,1991,
India,Nangal,Heavy Water Production,,Decommissioned,Commercial,6.6 t/year,1962,2002
India,NFC (UOP) - Block-A,Conversion to UO2,Nat U for PHWR,In Operation,Commercial,450 t HM/year,1972,
India,NFC -  (ZIR),Zirconium Alloy Production,,In Operation,Commercial,250 t/year,1980,
India,NFC (NZSP),Zirconium Alloy Production,,In Operation,Commercial,250 t/year,,
India,NFC (NZFP),Zirconium Alloy Tubing,,In Operation,Commercial,59 t/year,1987,
India,NFC (ZFP),Zirconium Alloy Tubing,,In Operation,Commercial,80 t/year,1973,
India,NFC - (PHWR) - Block-A,"Fuel Fabrication (U Pellet, Pin, FA)",Nat U for PHWR,In Operation,Commercial,1500 t HM/year,1974,
India,NFC  (BWR),"Fuel Fabrication (U Pellet, Pin, FA)",UOX for BWR,In Operation,Commercial,24 t HM/year,1974,
India,Talcher,Heavy Water Production,,Stand By,Commercial,62.5 t/year,1985,
India,Thal - Vaishet,Heavy Water Production,,In Operation,Commercial,78 t/year,1987,
India,"Trombay, Fuel Fabrication","Fuel Fabrication (U Pellet, Pin, FA)",Nat U for PHWR,Decommissioned,Commercial,135 t HM/year,1968,1972
India,Tuticorin,Heavy Water Production,,In Operation,Commercial,49 t/year,1978,
India,"NFC, Palayakayal",Other-Related Industrial Activities,,Under Construction,Commercial,250 t/year,,
India,UCIL-Turamdih,Uranium Ore Processing,,Under Construction,Commercial,190 t U/year,2006,
India,"Mosaboni, Rakha, Surda",Uranium Ore Processing,,Stand By,Commercial,50 t U/year,1986,
India,NFC (PELLET),"Fuel Fabrication (U Pellet, Pin, FA)",,In Operation,Commercial,335 t HM/year,1998,
India,NFC (PHWR)-2,"Fuel Fabrication (U Pellet, Pin, FA)",Nat U for PHWR,In Operation,Commercial,300 t HM/year,1997,
India,Trombay - FBTR,"Fuel Fabrication (U Pellet, Pin, FA)",Fuel for FBR,In Operation,Laboratory,0 t HM/year,1985,
India,Tarapur (AFR),AFR Wet Spent Fuel Storage (Pool),,In Operation,Commercial,275 t HM,1990,
India,Tarapur NPP Site,AFR Dry Spent Fuel Storage,,In Operation,Commercial,20 t HM,1990,
India,AFR RAPP1/2 Rajasthan NPP Site,AFR Dry Spent Fuel Storage,,In Operation,Commercial,570 t HM,1994,
India,KPM,Uranium Ore Processing,,Others,Commercial,2000 t -ore/day,,
India,NFC - Hyderabad (ZSP),Zirconium Alloy Tubing,,In Operation,Commercial,180 t/year,1971,
India,Coral,Spent Fuel Reprocessing - aqueous route,,In Operation,Pilot plant,0 ,2003,
India,Tummalapalle mine and Mill,Uranium Ore Processing,,In Operation,Commercial, ,2016,
India,Nuclear Fuel Complex- Kota,"Fuel Fabrication (U Pellet, Pin, FA)",Nat U for PHWR,Under Construction,Commercial,1000 t HM,2025,
Indonesia,Experimental Fuel Element Facility,"Fuel Fabrication (U Pellet, Pin, FA)",Fuel for MTR,In Operation,Laboratory,750 Bundle/year,1986,2032
Indonesia,RR Fuel Element Production Installation (IFEBRR),Fuel Fabrication (Research Reactors),Fuel for MTR,Shutdown,Commercial,70 Elements/year,1986,2023
Indonesia,Lemajung Pilot U Processing,Uranium Ore Processing,,Shutdown,Pilot plant,0.2 t U/year,1981,1996
Indonesia,Serpong Conversion Facility,Conversion to UO2,,In Operation,Laboratory,0.1 t HM/year,2016,2031
Indonesia,Interim  storage for spent Fuel,AFR Wet Spent Fuel Storage (Pool),Fuel for MTR,In Operation,Commercial,1458 Bundle/year,2006,2028
Israel,Rotem fertilizers plant,Uranium Recovery from Phosphates,,Shutdown,Pilot plant,0 t U/year,1984,1986
Italy,Eurex SFRE (Oxide),Spent Fuel Reprocessing - aqueous route,,Decommissioning,Pilot plant,10 t HM/year,1980,1990
Italy,ITREC,Spent Fuel Reprocessing - aqueous route,,Decommissioning,Pilot plant,5 t HM/year,1975,1988
Italy,Eurex SFRE (MTR),Spent Fuel Reprocessing - aqueous route,,Decommissioning,Pilot plant,0.3 t HM/year,1970,1990
Italy,Eurex SFRE (Pu Nitrate Line),Spent Fuel Reprocessing - aqueous route,,Decommissioning,Pilot plant,0.1 t HM/year,1988,
Italy,IFEC FABR - HWR - CIRENE Line,"Fuel Fabrication (U Pellet, Pin, FA)",Nat U for PHWR,Decommissioned,Pilot plant,12 t HM/year,1966,1989
Italy,IFEC FABR - MTR Line,Fuel Fabrication (Research Reactors),,Decommissioned,Pilot plant,0.2 t HM/year,1964,1987
Italy,IFEC FABR - High Enrich. Line,Fuel Fabrication (Research Reactors),,Decommissioned,Pilot plant,10 t HM/year,1966,1989
Italy,Impianto di Bosco Marengo,"Fuel Fabrication (U Pellet, Pin, FA)",UOX for PWR,Decommissioning,Commercial,100 t HM/year,1973,1996
Italy,Plutonium Laboratory,"MOX fuel fabrication (Mox Powder, Pellet, Pin, FA)",,Decommissioning,Pilot plant,0.9 t HM/year,1968,1987
Italy,Deposito Avogadro,AFR Wet Spent Fuel Storage (Pool),,In Operation,Commercial,222 t HM,1982,
Italy,CONU Magnox Fuel Fabrication Plant,"Fuel Fabrication (U Pellet, Pin, FA)",Fuel for GCR/AGR,Decommissioned,Commercial,0 t HM/year,1960,1987
Japan,Kobe Special Tube Chofu-Kita,Zirconium Alloy Tubing,,Shutdown,Commercial,800 km/year,1975,2000
Japan,Asahi U Enrichment Laboratory,Uranium Enrichment,,Shutdown,Pilot plant,2 MTSWU/year,1986,1991
Japan,Japan Nuclear Fuel Conversion (JCO),Re-conversion to UO2 Powder,,Shutdown,Commercial,718 t HM/year,1981,1999
Japan,Rokkasho Uranium Enrichment Plant,Uranium Enrichment,,In Operation,Commercial,450 MTSWU/year,1992,
Japan,NFI Kumatori Works,"Fuel Fabrication (U Pellet, Pin, FA)",UOX for PWR,In Operation,Commercial,284 t U/year,1972,
Japan,MNF-Fuel Fabrication Facility,"Fuel Fabrication (U Pellet, Pin, FA)",UOX for PWR,In Operation,Commercial,440 t U/year,1972,
Japan,NFI Tokai Works,"Fuel Fabrication (U Pellet, Pin, FA)","UOX for BWR, Fuel for HTR/GHTR",In Operation,Commercial,250 t U/year,1980,
Japan,JAEA Ningyo - Toge Refinement and Conversion Facility (Wet Process),Conversion to UF6,,Decommissioning,Pilot plant,0 t HM/year,1982,1991
Japan,JAEA Ningyo - Toge Uranium Enrichment Pilot Plant,Uranium Enrichment,,Decommissioning,Pilot plant,30 MTSWU/year,1979,1997
Japan,JAEA Ningyo - Toge Uranium Enrichment Demonstration Plant (DOP),Uranium Enrichment,,Decommissioning,Pilot plant,100 MTSWU/year,1988,2001
Japan,Uranium - Sea Water Recovery,Uranium Ore Processing,,Decommissioned,Pilot plant,0.01 t U/year,1986,1988
Japan,Mitsubishi Nuclear Fuels Ltd(MNF) - Okegawa Plant,Zirconium Alloy Tubing,,In Operation,Commercial,800 km/year,1973,
Japan,JAEA Tokai Plutonium Fuel Fabrication Facility (Pu-2 - ATR),"MOX fuel fabrication (Mox Powder, Pellet, Pin, FA)",,Decommissioning,Pilot plant,10 t HM/year,1972,2001
Japan,JAEA Tokai Plutonium Fuel Development Facility (Pu-1 - MOX),"MOX fuel fabrication (Mox Powder, Pellet, Pin, FA)",,In Operation,Laboratory,0.3 t HM/year,1965,
Japan,Rokkasho Spent Fuel Storage,AFR Wet Spent Fuel Storage (Pool),,In Operation,Commercial,3000 t U/year,1999,
Japan,Rokkasho Reprocessing Plant,Spent Fuel Reprocessing - aqueous route,UOX for PWR,Under Construction,Commercial,800 t U/year,2024,
Japan,SUMITOMO Tube Production Plant,Zirconium Alloy Tubing,,Shutdown,Commercial,800 km/year,1980,2000
Japan,JAEA Tokai Reprocessing Plant (TRP),Spent Fuel Reprocessing - aqueous route,"UOX for PWR, UOX for BWR, Fuel for ATR",Decommissioning,Pilot plant,90 t U/year,1977,2006
Japan,JAEA Tokai Reprocessing Plant - Spent Fuel Storage,AFR Wet Spent Fuel Storage (Pool),,Decommissioning,Pilot plant,140 t HM,1977,2018
Japan,Global Nuclear Fuel-Kurihama Manufacturing Plant,"Fuel Fabrication (U Pellet, Pin, FA)",UOX for BWR,Refurbishment,Commercial,620 t U/year,1970,
Japan,Cezus - Nagahama,Zirconium Alloy Production,,Shutdown,Commercial,300 t/year,1989,1996
Japan,JAEA Tokai Plutonium Fuel Fabrication Facility (Pu-2 - FBR),"MOX fuel fabrication (Mox Powder, Pellet, Pin, FA)","MOX for PWR, MOX for BWR",Decommissioning,Pilot plant,1 t HM/year,1972,2001
Japan,Fukushima Daiichi NPP site SFSF,AFR Dry Spent Fuel Storage,UOX for BWR,Others,Commercial,408 Cask-Bund.,1995,
Japan,JAEA Tokai Uranium Enrichment Facilities (Building L),Uranium Enrichment,,Shutdown,Laboratory,0 MTSWU/year,1990,2002
Japan,Fukushima Daiichi NPP Site SFSF,AFR Wet Spent Fuel Storage (Pool),,Others,Commercial,6840 Cask-Bund.,1997,
Japan,JAEA Ningyo - Toge Milling Plant,Uranium Ore Processing,,Decommissioned,Pilot plant,0 t U/year,1964,1982
Japan,JAEA Ningyo - Toge  Refinement and Conversion Facility (Dry Process),Conversion to UF6,,Decommissioning,Pilot plant,120 t U/year,1988,1999
Japan,Tokai Test Facility,Uranium Enrichment,,Decommissioned,Laboratory,0 MTSWU/year,1987,2003
Japan,JAEA Tokai Plutonium Fuel Production Facility (Pu-3 - FBR),"MOX fuel fabrication (Mox Powder, Pellet, Pin, FA)",MOX for FR,In Operation,Pilot plant,10 t HM/year,1988,
Japan,MNF-Reconversion facility,Re-conversion to UO2 Powder,,In Operation,Commercial,450 t U/year,1972,
Japan,JAEA Tokai Reprocessing Plant - Plutonium Conversion Development Facility (PCDF),"MOX fuel fabrication (Mox Powder, Pellet, Pin, FA)",,Decommissioning,Pilot plant,0.01 t HM/day,1983,2016
Japan,JAEA Tokai Reprocessing Test Facility (JRTF),Spent Fuel Reprocessing - aqueous route,,Decommissioning,Laboratory,0 t HM/year,1968,1970
Japan,NFI Takeyama Laboratory,"MOX fuel fabrication (Mox Powder, Pellet, Pin, FA)",,Decommissioned,Commercial,10 t HM/year,1972,1973
Japan,Rokkasho Nuclear Fuel Cycle Facilities (MOX Fuel Fabrication Plant),"MOX fuel fabrication (Mox Powder, Pellet, Pin, FA)","MOX for PWR, MOX for BWR",Under Construction,Commercial,130 t HM/year,2024,
Japan,Zirco Products Chofu-kita,Zirconium Alloy Tubing,,Shutdown,Commercial,1400 km/year,2000,
Japan,Zirco Products Amagasaki,Zirconium Alloy Tubing,,Shutdown,Commercial,800 km/year,2000,2003
Japan,Tokai II NPP Site SFSF,AFR Dry Spent Fuel Storage,,In Operation,Commercial,3714 Cask-Bund.,2001,
Japan,Recyclable Fuel Storage Centre,AFR Dry Spent Fuel Storage,,Under Construction,Commercial,5000 t U/year,2023,
Kazakhstan, Betpak-Dala JV LLP,Uranium Ore Processing,,In Operation,Commercial,3000 t U/year,2004,
Kazakhstan,Stepnogorsky Mining and Chemical Complex (SMCC),Uranium Ore Processing,,In Operation,Commercial,3000 t U/year,1958,
Kazakhstan,Kaskor (Prikaspisky),Uranium Recovery from Phosphates,,Stand By,Commercial,1400 t U/year,1950,1994
Kazakhstan,Ulba Metalurgical Plant (UMP),"Fuel Fabrication (U Pellet, Pin, FA)",,In Operation,Commercial,2800 t HM/year,1949,
Kazakhstan,Stepnoye Mining Group LLP,Uranium Ore Processing,,In Operation,Commercial,1300 t U/year,1978,
Kazakhstan,Mining Group 6 LLP,Uranium Ore Processing,,In Operation,Commercial,1000 t U/year,1985,
Kazakhstan,Kaskor Mill,Uranium Ore Processing,,Stand By,Commercial,2000 t U/year,1959,1993
Kazakhstan,JV Inkai,Uranium Ore Processing,,In Operation,Commercial,700 t U/year,2001,
Kazakhstan,JV Katco (Moynkum),Uranium Ore Processing,,In Operation,Commercial,700 t U/year,2001,
Kazakhstan,Centralnoye (Taukent),Uranium Ore Processing,,In Operation,Commercial,1000 t U/year,1982,
Kazakhstan,Appak LLP,Uranium Ore Processing,,In Operation,Commercial,500 t U/year,2009,
Kazakhstan,Karatau,Uranium Ore Processing,,Under Construction,Commercial, ,,
Kazakhstan,JV Zarechnoye,Uranium Ore Processing,,Under Construction,Commercial, ,2006,
Kazakhstan,Kyzilkum LLC,Uranium Ore Processing,,Under Construction,Commercial,1000 t U/year,2010,
Kazakhstan,KenDala.kz JSC,Uranium Ore Processing,,In Operation,Commercial,1000 t U/year,2005,
Kazakhstan,Ulba-FA Plant,"Fuel Fabrication (U Pellet, Pin, FA)",UOX for PWR,In Operation,Commercial,200 t HM/year,2021,
"Korea, Republic of",Uranium Re-Conversion Facility,Conversion to UO2,,In Operation,Pilot plant,700 t U/year,1990,
"Korea, Republic of",Candu Fuel Fabrication Plant (1),"Fuel Fabrication (U Pellet, Pin, FA)",Nat U for PHWR,Shutdown,Commercial,100 t HM/year,1987,1996
"Korea, Republic of",PWR Fuel Fabrication Plant,"Fuel Fabrication (U Pellet, Pin, FA)",UOX for PWR,In Operation,Commercial,550 t U/year,1989,
"Korea, Republic of",Wolsong Dry Storage,AFR Dry Spent Fuel Storage,Nat U for PHWR,In Operation,Commercial,6250 t HM,1992,
"Korea, Republic of",DUPIC Fuel Dev. Fac. (DFDF),"Fuel Fabrication (U Pellet, Pin, FA)",Fuel for DUPIC,In Operation,Laboratory,0.2 t HM/year,1999,
"Korea, Republic of",DUPIC Pilot Scale Facility,"Fuel Fabrication (U Pellet, Pin, FA)",Fuel for DUPIC,Others,Pilot plant,5 t HM/year,,
"Korea, Republic of",PHWR Fuel Fabrication Plant,"Fuel Fabrication (U Pellet, Pin, FA)",Nat U for PHWR,In Operation,Commercial,400 t U/year,1998,
"Korea, Republic of",Advanced Spent Fuel Conditioning Process Facility,Disposal (HLW),UOX for PWR,Stand By,Laboratory,0.1 t HM,2009,
Kyrgyzstan,Kara Balta,Uranium Ore Processing,,In Operation,Commercial,2000 t U/year,1956,
Lithuania, Spent Fuel Storage Facility - 1,AFR Dry Spent Fuel Storage,Fuel for RBMK/LWGR,In Operation,Commercial,120 Cask-Bund.,1998,2058
Lithuania,Spent Fuel Storage Facility - 2,AFR Dry Spent Fuel Storage,Fuel for RBMK/LWGR,In Operation,Commercial,202 Cask-Bund.,2017,2066
Lithuania,Solid Radioactive Waste Treatment and storage Facility,Disposal (HLW),,Commissioning,Commercial, ,2017,
Luxembourg,Local de collecte de déchets radioactifs (LCDR),Other-Waste Management Facilities,,In Operation,Commercial, ,,
Malawi,Kayelekera,Uranium Ore Processing,,In Operation,Commercial,1270 t U/year,2009,
Mexico,Uranium Concentrates Refining Pilot Plant (PPRCU),Conversion to UO2,,Decommissioned,Pilot plant,2.25 t HM/year,1988,1990
Mexico,Planta Piloto de Fabrication de Combustible (PPFC),"Fuel Fabrication (U Pellet, Pin, FA)","UOX for PWR, UOX for BWR",Stand By,Pilot plant,20 Elements/year,1992,
Mexico,Planta de Beneficio de Uranio de Villa Aldama Chi.,Uranium Ore Processing,,Decommissioned,Commercial,80 t -ore/day,1969,1971
Mexico,Planta Provisional de Fabricacion de Combustible,"Fuel Fabrication (U Pellet, Pin, FA)",,Decommissioned,Laboratory, t HM/year,1983,1990
Mongolia,Dornod / Erdes,Uranium Ore Processing,,Stand By,Commercial,300 t U/year,1998,
Morocco,Jorf Lasfar - Khouribga,Uranium Recovery from Phosphates,,Others,Commercial,370 t U/year,,
Morocco,Safi - Youssoufia,Uranium Recovery from Phosphates,,Others,Commercial,470 t U/year,,
Namibia,Rössing,Uranium Ore Processing,,In Operation,Commercial,1900 t U/year,1976,
Namibia,Langer Heinrich Uranium,Uranium Ore Processing,,Stand By,Commercial,2000 t U/year,2006,
Namibia,Husab mine,Uranium Ore Processing,,In Operation,Commercial,4400 t U/year,2014,
Namibia,Trekkopje Mine,Uranium Ore Processing,,Stand By,Commercial,3000 t U/year,2011,
Namibia,Happy valley,Uranium Ore Processing,,Under Construction,, ,,
Namibia,Norasa Uranium project,Uranium Ore Processing,,Under Construction,, ,,
"Netherlands, Kingdom of the",Urenco Nederland,Uranium Enrichment,,In Operation,Commercial,6200 MTSWU/year,1973,
"Netherlands, Kingdom of the",COVRA,Disposal (HLW),,In Operation,Commercial, ,2003,
"Netherlands, Kingdom of the",Molybdenum production Facilities,Other-Related Industrial Activities,HALEU targets,In Operation,Commercial, ,1961,
"Netherlands, Kingdom of the",Waste Storage Facility,AFR Dry Spent Fuel Storage,,In Operation,, ,1961,
Niger,COMINAK,Uranium Ore Processing,,Decommissioning,Commercial,2300 t U/year,1978,
Niger,SOMAIR,Uranium Ore Processing,,In Operation,Commercial,1500 t U/year,1970,
Norway,Rjukan,Heavy Water Production,,Shutdown,Commercial,2 t/year,1980,1991
Norway,Pilot Uranium Reprocessing Plant,Spent Fuel Reprocessing - aqueous route,,Decommissioned,Pilot plant,0 t HM/year,1961,1968
Norway,Fuel Fabrication Plant,"Fuel Fabrication (U Pellet, Pin, FA)",UOX for PWR,In Operation,Pilot plant,0.3 t HM/year,1965,
Pakistan,Chashma,"Fuel Fabrication (U Pellet, Pin, FA)",Nat U for PHWR,In Operation,Commercial,20 t HM/year,1986,
Pakistan,BC-1,Uranium Ore Processing,,In Operation,Pilot plant,30 t U/year,1978,
